id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4649967036139516,KkXRZpLas,5611884050,桃桃-泰国佛牌法事观元辰宫,凤‮凰求‬爆灵来袭‼️️‼️️四‮禁国‬售‮物圣‬入料🈲🈲融‮灵入‬界女‮分帝‬魄👑👑👑从‮源根‬上‮升提‬佩戴‮的着‬磁场能量👍🏻👍🏻天‮法才‬师阿赞莫‮今自‬年出山‮后以‬将十几年‮修隐‬秘法逐一‮诸公‬于世🙏🏻🙏🏻🙏🏻并‮今且‬年8月3日‮国泰‬皇‮公室‬主👸🏻更是‮自亲‬拜访师父👍🏻👍🏻据‮完不‬全统计，师‮的父‬圣物综‮反合‬馈高达96%😱😱‼️️‼️️每‮款一‬圣物‮出的‬庙都‮以足‬让泰‮鲁国‬士‮会协‬为之震惊💯可‮隐见‬修法脉‮魅的‬力着‮恐实‬怖😍😍本‮师次‬父出庙的“凤求凰”（泰译）🇹🇭采‮秘用‬法中‮载记‬的‮种四‬圣‮的料‬融合体‮为作‬主料，👍🏻👍🏻四‮主种‬料分别来‮马自‬来西亚、泰国、柬埔寨、老挝，🈲🈲且‮是都‬国家宗‮保教‬护级‮圣的‬物🙏🏻🙏🏻🙏🏻能‮把够‬这几种圣‮配料‬齐已‮是经‬非常困难‼️️然‮这而‬些主料对于“凤求凰”来‮只说‬是辅助性的😱其‮主最‬要‮灵的‬力在‮于自‬师父恭请‮的的‬灵‮女界‬帝分魄👍🏻👍🏻👍🏻以109天‮祀祭‬为恭‮礼请‬仪🕯🕯每‮祭次‬祀‮间的‬隔时间为五年‼️️‼️️最‮再后‬以四‮圣种‬料为供品‮能方‬换取女帝‮魄分‬入灵🙏🏻🙏🏻所‮此以‬仙‮的牌‬苛‮要刻‬求‮的真‬可以说是“此‮只牌‬应天上有，人‮能间‬得几人闻”♥️️♥️️♥️️故‮在而‬仙牌出庙‮当的‬日，鲁‮协士‬会就以“女帝现，惊天变”的‮语谚‬来评价‼️️‼️️“凤求凰”的‮效功‬也‮让是‬人眼‮咋红‬舌，师父告‮佛知‬牌功效‮反的‬馈周期为15天。✅1-5天‮佩将‬戴者的磁‮灵场‬力‮女和‬帝分‮开魄‬始融合，在‮个这‬阶段‮戴佩‬者会‮然偶‬出现头晕、乏力、身‮莫边‬名开‮出始‬现异性等‮些一‬正常反应。✅6-10天‮戴佩‬者‮瞳的‬孔开始变黑，发亮，神‮奕采‬奕，精神满满，身‮愉心‬悦。✅11-15天是佩‮者戴‬完全融‮灵合‬力‮时的‬间，其中最‮显明‬的反馈‮是就‬佩戴者的‮势运‬开始有‮显明‬的好转，并‮佩且‬戴‮所者‬说‮话的‬开始有‮服信‬力，无人反驳，地‮开位‬始提升。㊙️️㊙️️㊙️️然‮功而‬效不‮如仅‬此，师父描‮功述‬效‮本基‬如下🙏🏻🙏🏻1️⃣️1️⃣已‮者婚‬佩‮可戴‬断‮配除‬偶‮一的‬切桃花、魅‮之惑‬灵，并且‮己自‬的地‮开位‬始在家庭‮上里‬升。2️⃣️2️⃣未婚者‮戴佩‬后凤求‮会凰‬帮你‮豪择‬门子弟相识，与‮结其‬缘，并‮是且‬真心‮意实‬的正姻缘。3️⃣️3️⃣提‮佩升‬戴者男性‮属亲‬的权贵，只‮是要‬直系‮男的‬性亲属‮会都‬得到凤‮凰求‬灵‮的力‬祝福，提‮事升‬业、提‮财升‬运可‮说以‬是旺夫旺子。4️⃣️4️⃣佩‮者戴‬自身周边‮一的‬切‮人小‬不攻自破，一‮有切‬害于‮戴佩‬者的小‮俩伎‬都会失效。5️⃣️5️⃣自‮的身‬财路会被‮帝女‬所开，出‮最现‬适合自己‮机的‬遇和机会，人‮显前‬贵就是这‮佛尊‬牌所赐‮你予‬的一切。🈲🈲由于“凤求凰”加‮法持‬门‮限的‬制，每次只能33尊‮持加‬一次，👍🏻👍🏻所‮即以‬便是限量99尊，但‮前目‬现货只有66尊‼️️‼️️先‮先定‬得。下次‮祀祭‬加持要等5️⃣️5️⃣年‮后之‬了，所以这‮五是‬年内，你‮权与‬贵‮近最‬的‮次一‬接触了哦🥰🥰#如何评价王思聪和孙一宁的爱恨情仇#,,,,如何评价王思聪和孙一宁的爱恨情仇,0,0,0,2021-06-20 00:59,Lucky🍑iPhone 11,"['http://ww2.sinaimg.cn/large/0067MToSly1gro2fnvh96j30u0140k18.jpg', 'http://ww2.sinaimg.cn/large/0067MToSly1gro2fo2uzpj30c60oj75n.jpg', 'http://ww3.sinaimg.cn/large/0067MToSly1gro2fo90nxj30u01hcq9n.jpg', 'http://ww2.sinaimg.cn/large/0067MToSly1gro2fnge7sj30u01cttg7.jpg', 'http://ww2.sinaimg.cn/large/0067MToSly1gro2fogy35j31cs0u0wm2.jpg', 'http://ww3.sinaimg.cn/large/0067MToSly1gro2fos5b2j31cs0u0qga.jpg']",,
4649966997865963,KkXRVx0in,7551011802,失窃的未来wx,我免费围观了@褚明宇的回答，问题价值1698.00元，快来一起免费围观~O微博问答,,,褚明宇,,0,0,0,2021-06-20 00:59,微博 weibo.com,,,
4649966990002618,KkXRV00Ge,3728868114,米兰有爱666,我免费围观了@王思聪的回答，问题价值10000.00元，快来一起免费围观~O微博问答,,,王思聪,,0,0,0,2021-06-20 00:59,微博 weibo.com,,,
4649756444068413,KkSokh4nz,1167257004,罗妮zyzyyuan,孙一宁的长相在仙人跳方面的确有得天独厚的优势，也的确坑蒙拐骗欠钱不还（在王思聪事件之后依然不还)，但是好像——现有已知受害者都是女性……,,,,,42,153,300,2021-06-19 11:03,,,,
4649966960904650,KkXRS3Nl8,7409121681,偶是大寶呗,//@纯洁善良潘帕斯://@罗妮zyzyyuan:王思聪事件后得到了很大关注，直播一晚几十万收入之后还是坚持不还。这钱如果是骗的王思聪的，或者其他见色起意的男色狼的，拒绝还钱人民群众肯定是叫好又叫座，行侠仗义罗宾汉么。不明白为什么逮着普通女受害者薅……,,,"纯洁善良潘帕斯,罗妮zyzyyuan",,0,0,0,2021-06-20 00:59,nova5Pro人像超级夜景,,,4649756444068413
4649966918174748,KkXRNyiCM,5607493177,小花胳膊,我免费围观了@王思聪的回答，问题价值10000.00元，快来一起免费围观~O微博问答,,,王思聪,,0,0,0,2021-06-20 00:59,微博 weibo.com,,,
4649966901398734,KkXRM5RSe,7502483569,璐璐泰佛堂合伙人-泰国佛牌,善信觉得自己长的不是很好看🌼请完燕通和碧娜姐姐后男友就是很喜欢财运也不错双丰收[让我看看]不过碧娜姐姐绝版了同一位师傅出的琳莉姐姐更厉害哦墙裂推荐‼️#泰佛堂##佛##端午奇妙游手绘大赛##泰国佛牌##公鼠生崽的科研成果该怎么解读##如何评价王思聪和孙一宁的爱恨情仇#,,,,"泰佛堂,佛,端午奇妙游手绘大赛,泰国佛牌,公鼠生崽的科研成果该怎么解读,如何评价王思聪和孙一宁的爱恨情仇",0,0,0,2021-06-20 00:59,iPhone 12 Pro Max,"['http://ww3.sinaimg.cn/large/008bJEHvly1gro2fcjcjaj30zo256thy.jpg', 'http://ww2.sinaimg.cn/large/008bJEHvly1gro2fcxsgaj30th0sk41b.jpg']",,
4649966863647076,KkXRIfiLO,7543163988,用户7543163988,我提出了问题“哦吼?”。O哦吼?@王思聪,,,王思聪,,0,0,0,2021-06-20 00:59,微博 weibo.com,,,
4649966851852063,KkXRH7LNZ,6625849706,几口橙--,王思聪也舔人，吴亦凡还撒娇，罗志祥半夜四点半还知道说晚安。就你一无是处还拽得跟二五八万似的,,,,,1,2,3,2021-06-20 00:59,OPPO超视野全面屏R15,['http://ww3.sinaimg.cn/large/007epobEgy1gro2f13d4tj305a05adg6.jpg'],,
4649966817512580,KkXRDvwmE,7457628865,Leung-tj,王思聪也舔人吴亦凡还撒娇罗志祥半夜四点半还知道说晚安就你拽的和二五八万一样.,,惠州·惠东县,,,0,0,1,2021-06-20 00:59,iPhone客户端,['http://ww2.sinaimg.cn/large/0088HrWxgy1gro2f76dlsj33403401ky.jpg'],,
